user_id,QoS_bandwidth,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_BUFFERINGtime,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS,QoA_VLCbitrate
34,4096,0.477,0.05,360,1351,1,0,3,1,26,4,5,4,5,4,300
71,4608,0.435,0.049,360,1367,1,0,2,1,20,3,5,4,2,3,396
91,3584,0.377,0.056,360,1368,1,0,4,1,21,4,5,4,4,4,195
34,3584,0.322,0.055,360,1371,1,0,6,1,26,2,4,3,2,3,392
59,4096,0.334,0.065,360,1371,1,0,6,1,31,4,5,2,3,4,393
93,2048,0.339,0.035,360,1385,1,0,5,0,19,4,5,4,4,4,217
21,1536,0.301,0.037,360,1386,1,0,3,0,27,5,5,5,5,5,196
40,2048,0.438,0.04,360,1388,1,0,2,1,21,4,5,4,4,4,607
19,2048,0.408,0.033,360,1389,1,0,2,1,27,3,4,3,4,3,654
59,4096,0.496,0.116,360,1398,2,2,6,1,31,4,4,3,1,3,733
80,4096,0.307,0.049,360,1402,2,2,6,1,21,3,5,4,4,4,721
17,2048,0.48,0.074,360,1403,1,0,3,1,39,4,4,4,3,4,400
69,2048,0.469,0.066,360,1404,1,0,2,1,21,4,5,4,4,4,471
23,1536,0.37,0.035,360,1404,1,0,3,1,27,3,5,3,4,4,396
79,4608,0.328,0.039,360,1405,2,2,6,1,25,3,5,4,4,4,704
37,1536,0.303,0.065,360,1406,1,0,2,1,21,4,5,5,5,5,464
28,3584,0.33,0.052,360,1413,2,2,3,0,28,4,5,4,4,4,392
45,2048,0.505,0.051,360,1415,1,0,2,1,23,4,5,5,5,5,472
137,2048,0.303,0.065,360,1418,1,0,5,1,26,5,5,4,4,4,391
124,2048,0.416,0.07,360,1421,1,0,5,1,30,4,5,4,3,4,587
161,2048,0.305,0.061,360,1431,1,0,1,0,45,3,3,1,2,1,75
92,4096,0.407,0.063,240,1431,2,2,4,1,25,4,5,4,3,3,314
32,1536,0.534,0.053,360,1437,1,0,3,0,37,5,5,5,4,5,491
145,4608,0.495,0.043,360,1438,2,2,3,1,25,5,3,4,3,4,1719
21,4608,0.344,0.049,360,1447,2,2,6,0,27,2,5,5,5,5,454
162,4608,0.39,0.059,360,1448,2,2,1,0,50,4,5,4,5,4,150
80,1024,0.328,0.052,360,1449,1,0,6,1,21,2,5,4,4,3,523
