user_id,QoS_bandwidth,QoS_packet-loss,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
135,3584,0,0.319,0.05,360,400,30,1,1274,5,1,0,5,1,25,5,4,5,4,3,4
80,4096,0,0.39,0.059,360,401,30,2,1275,5,1,0,6,1,21,5,3,5,4,4,4
33,4096,0,0.465,0.032,360,187,30,2,1276,4,1,0,3,1,26,5,5,5,4,5,5
60,2048,0,0.39,0.059,360,397,25,2,1280,3,1,0,6,1,38,5,4,4,4,5,4
99,4096,0,0.376,0.046,360,196,24,2,1286,2,1,0,3,1,44,5,3,5,5,4,4
69,4096,0,0.465,0.071,360,708,25,1,1288,2,1,0,3,1,21,5,4,5,4,4,4
137,4096,0,0.477,0.05,360,75,8,1,1296,5,1,0,5,1,26,5,5,5,1,1,1
151,4096,0,0.344,0.049,360,396,26,2,1296,5,1,0,7,1,33,5,4,5,3,2,3
138,4096,0,0.496,0.116,360,300,30,2,1308,5,1,0,3,1,26,5,4,5,4,4,4
100,3584,0,0.33,0.027,360,579,30,2,1310,2,1,0,6,1,52,5,4,4,3,2,4
42,3072,0,0.487,0.042,360,708,25,1,1310,5,1,0,6,1,26,5,2,3,5,4,3
43,3584,0,0.392,0.045,360,438,25,1,1319,2,1,0,6,1,21,5,4,5,5,5,5
22,4096,0,0.455,0.033,240,119,24,1,1334,4,1,0,3,0,26,5,5,4,3,3,4
121,4608,0,0.495,0.043,360,655,25,2,1335,2,1,0,5,1,30,5,4,5,4,3,4
80,4096,0,0.465,0.071,360,194,24,1,1338,5,1,0,6,1,21,5,4,5,4,5,4
92,4096,0,0.455,0.033,360,392,30,1,1344,3,1,0,4,1,25,5,4,5,4,4,4
90,3584,0,0.333,0.034,360,568,25,1,1345,3,1,0,4,1,44,5,4,5,4,4,4
